,Reviews,Ratings
467,Does the job,3
468,Expected a better product,2
469,Super!,5
470,Fabulous!,5
471,Waste of money!,1
472,Value-for-money,4
473,Pretty good,4
474,Utterly Disappointed,1
475,Waste of money!,1
476,Just wow!,5
477,Just okay,3
478,Worth every penny,5
479,Worth every penny,5
480,Worth the money,4
481,Simply awesome,5
482,Bad quality,2
483,Does the job,3
484,Terrific,5
485,Terrific,5
486,Worthless,1
487,Hated it!,1
488,Worst experience ever!,1
489,Terrific,5
490,Just wow!,5
491,Really Nice,4
492,Good choice,4
493,Slightly disappointed,2
494,Decent product,3
495,Waste of money!,1
496,Mind-blowing purchase,5
497,Could be way better,2
498,Unsatisfactory,1
499,Terrible product,1
500,Super!,5
501,Worth the money,4
502,Does the job,3
503,Must buy!,5
504,Nice product,4
505,Decent product,3
506,Not recommended at all,1
507,Absolute rubbish!,1
508,Does the job,3
509,Worth the money,4
510,Horrible,1
511,Super!,5
512,Worthless,1
513,Must buy!,5
514,Wonderful,5
515,Just wow!,5
516,Decent product,3
517,Decent product,3
518,Nice,3
519,Good,3
520,Great product,5
521,Must buy!,5
522,Best in the market!,5
523,Moderate,2
524,Worthless,1
525,Highly recommended,5
526,Utterly Disappointed,1
527,Horrible,1
528,Expected a better product,2
529,Worst experience ever!,1
530,Waste of money!,1
531,Waste of money!,1
532,Moderate,2
533,Brilliant,5
534,Worthless,1
535,Slightly disappointed,2
536,Utterly Disappointed,1
537,Could be way better,2
538,Useless product,1
539,Not good,2
540,Great product,5
541,Wonderful,5
542,Moderate,2
543,Delightful,4
544,Hated it!,1
545,Must buy!,5
546,Not good,2
547,Terrific,5
548,Slightly disappointed,2
549,Don't waste your money,1
550,Wonderful,5
551,Decent product,3
552,Not recommended at all,1
553,Useless product,1
554,Value-for-money,4
555,Excellent,5
556,Nice,3
557,Great product,5
558,Wonderful,5
559,Could be way better,2
560,Mind-blowing purchase,5
561,Very Good,4
562,Pretty good,4
563,Highly recommended,5
564,Mind-blowing purchase,5
565,Classy product,5
566,Wonderful,5
567,Perfect product!,5
568,Not good,2
569,Wonderful,5
570,Super!,5
571,Must buy!,5
572,Worth every penny,5
573,Classy product,5
574,Terrific,5
575,Delightful,4
576,Brilliant,5
577,Terrific,5
578,Wonderful,5
579,Highly recommended,5
580,Must buy!,5
581,Waste of money!,1
582,Awesome,5
583,Wonderful,5
584,Mind-blowing purchase,5
585,Bad quality,2
586,Excellent,5
587,Mind-blowing purchase,5
588,Just okay,3
589,Pretty good,4
590,Mind-blowing purchase,5
591,Decent product,3
592,Good,3
593,Must buy!,5
594,Awesome,5
595,Highly recommended,5
596,Nice,3
597,Don't waste your money,1
598,Horrible,1
599,Useless product,1
600,Bad quality,2
601,Terrific purchase,5
602,Unsatisfactory,1
603,Just okay,3
604,Did not meet expectations,1
605,Terrible product,1
606,Really Nice,4
607,Worst experience ever!,1
608,Pretty good,4
609,Good quality product,4
610,Best in the market!,5
611,Terrible product,1
612,Must buy!,5
613,Worth the money,4
614,Not recommended at all,1
615,Very poor,1
616,Horrible,1
617,Horrible,1
618,Best in the market!,5
619,Moderate,2
620,Does the job,3
621,Good,3
622,Wonderful,4
623,Pretty good,4
624,Delightful,4
625,Best in the market!,5
626,Terrific,5
627,Nice product,4
628,Good,3
629,Terrible product,1
630,Fabulous!,5
631,Unsatisfactory,1
632,Pretty good,4
633,Super!,5
634,Utterly Disappointed,1
635,Mind-blowing purchase,5
636,Super!,5
637,Very Good,4
638,Great product,5
639,Slightly disappointed,2
640,Fabulous!,5
641,Does the job,3
642,Super!,5
643,Pretty good,4
644,Terrific,5
645,Super!,5
646,Great product,5
647,Best in the market!,5
648,Classy product,5
649,Just okay,3
650,Slightly disappointed,2
651,Good,3
652,Excellent,5
653,Decent product,3
654,Nice,3
655,Very poor,1
656,Waste of money!,1
657,Worst experience ever!,1
658,Nice,3
659,Worst experience ever!,1
660,Bad quality,2
661,Bad quality,2
662,Very Good,4
663,Wonderful,4
664,Does the job,3
665,Mind-blowing purchase,5
666,Classy product,5
667,Fair,3
668,Just wow!,5
669,Useless product,1
670,Really Nice,4
671,Terrific,5
672,Brilliant,5
673,Simply awesome,5
674,Terrific,5
675,Best in the market!,5
676,Wonderful,5
677,Really Nice,4
678,Expected a better product,2
679,Does the job,3
680,Brilliant,5
681,Simply awesome,5
682,Wonderful,5
683,Awesome,5
684,Decent product,3
685,Decent product,3
686,Mind-blowing purchase,5
687,Unsatisfactory,1
688,Fair,3
689,Just wow!,5
690,Worthless,1
691,Decent product,3
692,Delightful,4
693,Worth every penny,5
694,Absolute rubbish!,1
695,Brilliant,5
696,Brilliant,5
697,Absolute rubbish!,1
698,Did not meet expectations,1
699,Awesome,5
700,Good choice,4
701,Simply awesome,5
702,Waste of money!,1
703,Super!,5
704,Must buy!,5
705,Fabulous!,5
706,Super!,5
707,Terrific,5
708,Pretty good,4
709,Utterly Disappointed,1
710,Great product,5
711,Good quality product,4
712,Pretty good,4
713,Super!,5
714,Very Good,4
715,Awesome,5
716,Very Good,4
717,Must buy!,5
718,Nice,3
719,Fabulous!,5
720,Perfect product!,5
721,Delightful,4
722,Fabulous!,5
723,Worth every penny,5
724,Just okay,3
725,Brilliant,5
726,Mind-blowing purchase,5
727,Nice,3
728,Mind-blowing purchase,5
729,Value-for-money,4
730,Good choice,4
731,Classy product,5
732,Value-for-money,4
733,Perfect product!,5
734,Highly recommended,5
735,Mind-blowing purchase,5
736,Mind-blowing purchase,5
737,Wonderful,5
738,Pretty good,4
739,Utterly Disappointed,1
740,Terrific purchase,5
741,Not good,2
742,Horrible,1
743,Terrific,5
744,Awesome,5
745,Fabulous!,5
746,Must buy!,5
747,Pretty good,4
748,Best in the market!,5
749,Nice product,4
750,Terrific,5
751,Very Good,4
752,Terrific purchase,5
753,Pretty good,4
754,Value-for-money,4
755,Absolute rubbish!,1
756,Worth the money,4
757,Nice product,4
758,Worthless,1
759,Very Good,4
760,Simply awesome,5
761,Brilliant,5
762,Wonderful,5
763,Worth the money,4
764,Wonderful,4
765,Worth the money,4
766,Highly recommended,5
767,Terrific,5
768,Nice product,4
769,Highly recommended,5
770,Great product,5
771,Super!,5
772,Just okay,3
773,Good quality product,4
774,Just okay,3
775,Wonderful,5
776,Good choice,4
777,Best in the market!,5
778,Just wow!,5
779,Wonderful,5
780,Decent product,3
781,Worth the money,4
782,Bad quality,2
783,Does the job,3
784,Very Good,4
785,Brilliant,5
786,Moderate,2
787,Very Good,4
788,Just wow!,5
789,Good,3
790,Worth the money,4
791,Slightly disappointed,2
792,Highly recommended,5
793,Wonderful,5
794,Fabulous!,5
795,Good choice,4
796,Excellent,5
797,Worth every penny,5
798,Highly recommended,5
799,Best in the market!,5
800,Unsatisfactory,1
801,Worth every penny,5
802,Utterly Disappointed,1
803,Best in the market!,5
804,Great product,5
805,Terrific purchase,5
806,Decent product,3
807,Must buy!,5
808,Awesome,5
809,Nice,3
810,Fair,3
811,Awesome,5
812,Brilliant,5
813,Decent product,3
814,Good,3
815,Wonderful,5
816,Worth every penny,5
817,Best in the market!,5
818,Fair,3
819,Super!,5
820,Decent product,3
821,Best in the market!,5
822,Terrific,5
823,Worth the money,4
824,Really Nice,4
825,Good,3
826,Worth every penny,5
827,Good choice,4
828,Horrible,1
829,Wonderful,5
830,Wonderful,5
831,Did not meet expectations,1
832,Terrific,5
833,Perfect product!,5
834,Awesome,5
835,Delightful,4
836,Worth every penny,5
837,Super!,5
838,Great product,5
839,Excellent,5
840,Worth every penny,5
841,Highly recommended,5
842,Excellent,5
843,Decent product,3
844,Utterly Disappointed,1
845,Just wow!,5
846,Good choice,4
847,Terrific purchase,5
848,Wonderful,5
849,Delightful,4
850,Pretty good,4
851,Expected a better product,2
852,Value-for-money,4
853,Slightly disappointed,2
854,Best in the market!,5
855,Worth the money,4
856,Classy product,5
857,Mind-blowing purchase,5
858,Mind-blowing purchase,5
859,Super!,5
860,Decent product,3
861,Good quality product,4
862,Best in the market!,5
863,Perfect product!,5
864,Terrific,5
865,Excellent,5
866,Highly recommended,5
867,Terrible product,1
868,Worth every penny,5
869,Terrible product,1
870,Value-for-money,4
871,Good,3
872,Highly recommended,5
873,Not recommended at all,1
874,Worth every penny,5
875,Terrible product,1
876,Brilliant,5
877,Worth every penny,5
878,Decent product,3
879,Very Good,4
880,Good quality product,4
881,Perfect product!,5
882,Excellent,5
883,Not good,2
884,Simply awesome,5
885,Terrific,5
886,Awesome,5
887,Awesome,5
888,Worth every penny,5
889,Pretty good,4
890,Fair,3
891,Perfect product!,5
892,Awesome,5
893,Terrific purchase,5
894,Fair,3
895,Worth every penny,5
896,Nice,3
897,Worth every penny,5
898,Classy product,5
899,Super!,5
900,Must buy!,5
901,Nice,3
902,Worth the money,4
903,Excellent,5
904,Waste of money!,1
905,Just wow!,5
906,Brilliant,5
907,Awesome,5
908,Nice product,4
909,Just wow!,5
910,Must buy!,5
911,Brilliant,5
912,Terrific,5
913,Just wow!,5
914,Best in the market!,5
915,Super!,5
916,Brilliant,5
917,Must buy!,5
918,Highly recommended,5
919,Classy product,5
920,Really Nice,4
921,Does the job,3
922,Nice,3
923,Brilliant,5
924,Highly recommended,5
925,Decent product,3
926,Best in the market!,5
927,Awesome,5
928,Must buy!,5
929,Just wow!,5
930,Perfect product!,5
931,Super!,5
932,Good quality product,4
933,Pretty good,4
934,Simply awesome,5
935,Terrific,5
936,Perfect product!,5
937,Mind-blowing purchase,5
938,Wonderful,5
939,Highly recommended,5
940,Classy product,5
941,Must buy!,5
942,Really Nice,4
943,Terrific purchase,5
944,Classy product,5
945,Simply awesome,5
946,Terrific purchase,5
947,Mind-blowing purchase,5
948,Wonderful,5
949,Classy product,5
950,Really Nice,4
951,Good,3
952,Does the job,3
953,Must buy!,5
954,Fair,3
955,Brilliant,5
956,Brilliant,5
957,Fabulous!,5
958,Worth every penny,5
959,Excellent,5
960,Worth every penny,5
961,Must buy!,5
962,Worth every penny,5
963,Terrific purchase,5
964,Excellent,5
965,Highly recommended,5
966,Very Good,4
967,Good choice,4
968,Excellent,5
969,Pretty good,4
970,Very Good,4
971,Worth the money,4
972,Wonderful,5
973,Wonderful,5
974,Perfect product!,5
975,Very Good,4
976,Very Good,4
977,Great product,5
978,Mind-blowing purchase,5
979,Terrific,5
980,Classy product,5
981,Simply awesome,5
982,Very Good,4
983,Simply awesome,5
984,Great product,5
985,Just okay,3
986,Terrific purchase,5
987,Not good,2
988,Does the job,3
989,Best in the market!,5
990,Mind-blowing purchase,5
991,Best in the market!,5
992,Fair,3
993,Just okay,3
994,Wonderful,4
995,Fair,3
996,Perfect product!,5
997,Good quality product,4
998,Simply awesome,5
999,Awesome,5
1000,Great product,5
1001,Very Good,4
1002,Excellent,5
1003,Excellent,5
1004,Worth the money,4
1005,Just wow!,5
1006,Best in the market!,5
1007,Fair,3
1008,Very Good,4
1009,Great product,5
1010,Fabulous!,5
1011,Best in the market!,5
1012,Best in the market!,5
1013,Fabulous!,5
1014,Classy product,5
1015,Super!,5
1016,Excellent,5
1017,Very Good,4
1018,Worth every penny,5
1019,Just wow!,5
1020,Wonderful,5
1021,Very Good,4
1022,Awesome,5
1023,Really Nice,4
1024,Good choice,4
1025,Very Good,4
1026,Mind-blowing purchase,5
1027,Highly recommended,5
1028,Must buy!,5
1029,Worth every penny,5
1030,Terrific,5
1031,Wonderful,5
1032,Must buy!,5
1033,Very Good,4
1034,Simply awesome,5
1035,Fair,3
1036,Mind-blowing purchase,5
1037,Value-for-money,4
1038,Good quality product,4
1039,Brilliant,5
1040,Terrific,5
1041,Must buy!,5
1042,Terrific purchase,5
1043,Worth the money,4
1044,Utterly Disappointed,1
1045,Mind-blowing purchase,5
1046,Terrific purchase,5
1047,Nice,3
1048,Highly recommended,5
1049,Wonderful,5
1050,Best in the market!,5
1051,Mind-blowing purchase,5
1052,Wonderful,5
1053,Super!,5
1054,Good choice,4
1055,Super!,5
1056,Worthless,1
1057,Very Good,4
1058,Just okay,3
1059,Could be way better,2
1060,Wonderful,5
1061,Perfect product!,5
1062,Really Nice,4
1063,Really Nice,4
1064,Great product,5
1065,Delightful,4
1066,Fair,3
1067,Worth the money,4
1068,Terrific purchase,5
1069,Just okay,3
1070,Utterly Disappointed,1
1071,Really Nice,4
1072,Absolute rubbish!,1
1073,Fair,3
1074,Pretty good,4
1075,Delightful,4
1076,Must buy!,5
1077,Useless product,1
1078,Simply awesome,5
1079,Waste of money!,1
1080,Good quality product,4
1081,Does the job,3
1082,Unsatisfactory,1
1083,Just okay,3
1084,Good,3
1085,Decent product,3
1086,Must buy!,5
1087,Worthless,1
1088,Very Good,4
1089,Mind-blowing purchase,5
1090,Terrific,5
1091,Excellent,5
1092,Hated it!ery bad signals,3
1093,Wonderful,5
1094,Classy product,5
1095,Worth every penny,5
1096,Slightly disappointed,2
1097,Brilliant,5
1098,Excellent,5
1099,Really Nice,4
1100,Horrible,1
1101,Perfect product!,5
1102,Best in the market!,5
1103,Best in the market!,5
1104,Does the job,3
1105,Classy product,5
1106,Mind-blowing purchase,5
1107,Good quality product,4
1108,Absolute rubbish!,1
1109,Decent product,3
1110,Brilliant,5
1111,Best in the market!,5
1112,Good,3
1113,Good quality product,4
1114,Delightful,4
1115,Just okay,3
1116,Worth every penny,5
1117,Does the job,3
1118,Must buy!,5
1119,Super!,5
1120,Useless product,1
1121,Great product,5
1122,Worth every penny,5
1123,Just okay,3
1124,Terrible product,1
1125,Highly recommended,5
1126,Excellent,5
1127,Worst experience ever!,1
1128,Just wow!,5
1129,Simply awesome,5
1130,Just wow!,5
1131,Worth the money,4
1132,Delightful,4
1133,Good choice,4
1134,Fabulous!,5
1135,Perfect product!,5
1136,Does the job,3
1137,Must buy!,5
1138,Excellent,5
1139,Must buy!,5
1140,Just wow!,5
1141,Delightful,4
1142,Nice,3
1143,Just okay,3
1144,Worth every penny,5
1145,Very Good,4
1146,Moderate,2
1147,Must buy!,5
1148,Mind-blowing purchase,5
1149,Awesome,5
1150,Pretty good,4
1151,Decent product,3
1152,Great product,5
1153,Decent product,3
1154,Perfect product!,5
1155,Moderate,2
1156,Worth the money,4
1157,Pretty good,4
1158,Does the job,3
1159,Great product,5
1160,Waste of money!,1
1161,Pretty good,4
1162,Just wow!,5
1163,Fabulous!,5
1164,Pretty good,4
1165,Perfect product!,5
1166,Best in the market!,5
1167,Must buy!,5
1168,Super!,5
1169,Worst experience ever!,1
1170,Not recommended at all,1
1171,Bad quality,2
1172,Terrific,5
1173,Fabulous!,5
1174,Terrible product,1
1175,Classy product,5
1176,Really Nice,4
1177,Very poor,1
1178,Simply awesome,5
1179,Best in the market!,5
1180,Really Nice,4
1181,Terrific,5
1182,Fair,3
1183,Decent product,3
1184,Super!,5
1185,Expected a better product,2
1186,Awesome,5
1187,Brilliant,5
1188,Wonderful,5
1189,Does the job,3
1190,Fair,3
1191,Mind-blowing purchase,5
1192,Good quality product,4
1193,Waste of money!,1
1194,Wonderful,5
1195,Not recommended at all,1
1196,Slightly disappointed,2
1197,Simply awesome,5
1198,Slightly disappointed,2
1199,Awesome,5
1200,Value-for-money,4
1201,Pretty good,4
1202,Good quality product,4
1203,Brilliant,5
1204,Must buy!,5
1205,Excellent,5
1206,Worth every penny,5
1207,Utterly Disappointed,1
1208,Terrific,5
1209,Nice,3
1210,Nice product,4
1211,Awesome,5
1212,Nice,3
1213,Nice product,4
1214,Terrific purchase,5
1215,Awesome,5
1216,Perfect product!,5
1217,Classy product,5
1218,Unsatisfactory,1
1219,Wonderful,5
1220,Terrific,5
1221,Worth every penny,5
1222,Decent product,3
1223,Just wow!,5
1224,Worth every penny,5
1225,Worth every penny,5
1226,Good quality product,4
1227,Super!,5
1228,Nice product,4
1229,Brilliant,5
1230,Brilliant,5
1231,Fabulous!,5
1232,Does the job,3
1233,Pretty good,4
1234,Just wow!,5
1235,Not good,2
1236,Nice,3
1237,Moderate,2
1238,Horrible,1
1239,Could be way better,2
1240,Excellent,5
1241,Unsatisfactory,1
1242,Awesome,5
1243,Delightful,4
1244,Wonderful,5
1245,Great product,5
1246,Must buy!,5
1247,Really Nice,4
1248,Worth every penny,5
1249,Great product,5
1250,Nice product,4
1251,Bad quality,2
1252,Delightful,4
1253,Terrible product,1
1254,Mind-blowing purchase,5
1255,Great product,5
1256,Very Good,4
1257,Excellent,5
1258,Good quality product,4
1259,Must buy!,5
1260,Brilliant,5
1261,Utterly Disappointed,1
1262,Good choice,4
1263,Nice,3
1264,Fair,3
1265,Don't waste your money,1
1266,Nice,3
1267,Decent product,3
1268,Decent product,3
1269,Value-for-money,4
1270,Not recommended at all,1
1271,Terrific,5
1272,Brilliant,5
1273,Terrific,5
1274,Mind-blowing purchase,5
1275,Highly recommended,5
1276,Nice,3
1277,Value-for-money,4
1278,Fair,3
1279,Pretty good,4
1280,Best in the market!,5
1281,Highly recommended,5
1282,Best in the market!,5
1283,Brilliant,5
1284,Excellent,5
1285,Pretty good,4
1286,Just wow!,5
1287,Awesome,5
1288,Good choice,4
1289,Does the job,3
1290,Perfect product!,5
1291,Just okay,3
1292,Really Nice,4
1293,Worth the money,4
1294,Wonderful,5
1295,Really Nice,4
1296,Decent product,3
1297,Perfect product!,5
1298,Does the job,3
1299,Terrific purchase,5
1300,Fabulous!,5
1301,Mind-blowing purchase,5
1302,Great product,5
1303,Super!,5
1304,Pretty good,4
1305,Awesome,5
1306,Terrific purchase,5
1307,Nice,3
1308,Just okay,3
1309,Worth the money,4
1310,Wonderful,5
1311,Nice product,4
1312,Perfect product!,5
1313,gud,5
1314,Highly recommended,5
1315,Brilliant,5
1316,Did not meet expectations,1
1317,Hated it!,1
1318,Good,3
1319,Mind-blowing purchase,5
1320,Very Good,4
1321,Must buy!,5
1322,Just wow!,5
1323,Brilliant,5
1324,you can buy! or depends on your choice and you.............,5
1325,Good choice,4
1326,Fabulous!,5
1327,Wonderful,5
1328,Awesome,5
1329,Excellent,5
1330,Terrific,5
1331,Very Good,4
1332,Just okay,3
1333,Does the job,3
1334,Nice,3
1335,Waste of money!,1
1336,Don't waste your money,1
1337,Wonderful,5
1338,Very Good,4
1339,Good quality product,4
1340,Does the job,3
1341,Really Nice,4
1342,Moderate,2
1343,Fair,3
1344,Must buy!,5
1345,Must buy!,5
1346,Fair,3
1347,Very Good,4
1348,Highly recommended,5
1349,Delightful,4
1350,Super!,5
1351,Worth every penny,5
